x,y,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,,,corrected_x,corrected_y
0.0505,0.913210647,-3.72E-05,0.00088312,-0.00149492,-0.698642597,0.322717771,9.787009048,,,0.0505,0.963210647
0.05,0.902746031,-3.72E-05,-0.00018088,-0.00096292,-0.696295969,0.330502804,9.808525079,,,0.05025,0.957979612
0.05,0.902746031,-3.72E-05,-0.00018088,0.00010108,-0.70341677,0.318196074,9.791840464,,,0.050166667,0.95623537
0.083333333,0.900621142,-3.72E-05,0.00088312,0.00010108,-0.698658669,0.325043801,9.784509281,,,0.058479167,0.954930724
0.0995,0.893941073,-3.72E-05,0.00088312,0.00010108,-0.698609809,0.317994042,9.789599117,,,0.066733333,0.952862877
0.117833333,0.907831042,0.00102676,-0.00018088,0.00063308,-0.696205203,0.317711269,9.782451834,,,0.0751875,0.953865473
0.1005,0.90437139,0.00102676,0.00141512,0.00063308,-0.693855615,0.325278076,9.79673357,,,0.078795918,0.953975505
0.119,0.918227246,0.00155876,-0.00018088,-0.00043092,-0.691434937,0.322669303,9.792087062,,,0.08375,0.955843051
0.1005,0.90437139,0.00049476,-0.00018088,-0.00096292,-0.698639992,0.322426901,9.777365291,,,0.085611111,0.95569285
0.135333333,0.910994219,0.00102676,-0.00018088,0.00010108,-0.698677998,0.327733434,9.794064714,,,0.09054,0.95633023
0.135333333,0.910994219,-3.72E-05,0.00141512,-0.00096292,-0.693797637,0.31721027,9.768070256,,,0.09457989,0.956834213
0,0,-0.00429324,0.00886312,0.00329308,-0.008834287,0.031152396,0.120738175,,,0.07947338,0.869555356
0.1015,0.914791558,-0.00056924,0.00088312,0.00116508,-0.693818269,0.320045338,9.782447568,,,0.081076923,0.87693247
0.1005,0.90437139,-0.00110124,-0.00018088,-0.00043092,-0.69141757,0.320198841,9.789764913,,,0.08240051,0.882497371
0.067,0.907045453,-0.00056924,0.00035112,0.00010108,-0.696272739,0.327377897,9.78450498,,,0.081466667,0.887490384
0.1015,0.914791558,-3.72E-05,-0.00018088,-0.00096292,-0.691415616,0.319980703,9.782532599,,,0.082660156,0.892351295
0.084166667,0.911062418,0.00049476,0.00035112,0.00063308,-0.691400846,0.317800109,9.789854244,,,0.082763841,0.896405823
0.05,0.902746031,-0.00056924,-0.00018088,0.00063308,-0.691434286,0.32259657,9.789675618,,,0.081044239,0.89956975
0.1015,0.914791558,-0.00056924,-0.00018088,-0.00043092,-0.69619044,0.315531677,9.789773442,,,0.082073869,0.903023485
0.084166667,0.911062418,-3.72E-05,0.00088312,0.00010108,-0.69381892,0.320118041,9.784858004,,,0.082185417,0.905933149
0.136666667,0.921363589,0.00155876,0.00035112,-0.00043092,-0.698593744,0.315669046,9.792099855,,,0.084634354,0.909124543
0.1015,0.914791558,-0.00056924,-0.00018088,0.00010108,-0.691431681,0.3223057,9.780031861,,,0.085635161,0.911751219
0.119,0.918227246,0.00102676,-0.00018088,-0.00043092,-0.693836939,0.322661206,9.789590588,,,0.087944334,0.916430368
0.1545,0.924194411,0.00102676,-0.00018088,0.00010108,-0.689013261,0.320061445,9.787438536,,,0.089257379,0.916733198
0.138,0.931723484,-3.72E-05,-0.00018088,0.00116508,-0.689016518,0.320425049,9.799493736,,,0.093257471,0.921876672
0.085,0.921493695,-3.72E-05,0.00088312,0.00010108,-0.696207156,0.317929407,9.789684148,,,0.091488996,0.921530723
0.0505,0.913210647,-0.00056924,0.00088312,-0.00096292,-0.69381436,0.319609002,9.767980925,,,0.08834381,0.924489147
0.084166667,0.911062418,-3.72E-05,-0.00018088,-0.00043092,-0.693833682,0.322297602,9.777535388,,,0.089204516,0.924368359
0.1005,0.90437139,-3.72E-05,0.00088312,0.00116508,-0.696217366,0.319600931,9.765484416,,,0.090250197,0.926420668
0.117833333,0.907831042,-0.00056924,0.00141512,-0.00096292,-0.703405698,0.316959827,9.750852984,,,0.382154724,1.910688184
0.169166667,0.906089765,0.00049476,-0.00071288,0.00010108,-0.693827169,0.321570395,9.753424987,,,0.408486291,1.991408662
0.188833333,0.918641818,0.00634676,-0.02092988,0.00010108,-0.479743543,0.286457992,9.90208445,,,0.425081672,2.075466324
0.156,0.934524758,-0.00163324,0.09451712,-0.00468692,-0.571736356,0.387096193,9.651410164,,,0.437270083,2.160371527
0.136666667,0.921363589,0.02709576,-0.02146188,-0.00202692,-0.525827779,-0.340324779,9.851278627,,,0.458415904,2.245702068
0.209,0.930787439,0.14041376,-0.19223788,-0.10257692,-1.56984394,0.519606261,10.09492395,,,0.475132191,2.332121351
0.139333333,0.942074202,0.17286676,-0.35290488,-0.09938492,-0.504128731,0.335511526,10.15287174,,,0.495854097,2.417140631
0.179166667,0.967852792,0.17659076,0.01258712,0.05223808,-1.158612526,-0.216345011,9.63424258,,,0.511830183,2.501545058
0.185833333,1.008863056,0.00209076,0.17165912,0.20120208,-1.257749914,-0.818226029,9.882407737,,,0.522801593,2.584836751
0.262166667,1.094374781,0.19042276,-0.09913488,0.01925308,0.655760619,0.433131826,9.769165254,,,0.526035181,2.665951551
0.281666667,1.184863915,-0.46288824,-0.12413988,-0.17812292,-1.80187745,-3.069644121,9.546317736,,,0.526742366,2.744153263
0.320833333,1.254833695,-0.07505124,0.15569812,0.05915408,-1.103711918,0.877403052,8.700165898,,,0.525386008,2.820189315
0.265833333,1.344581528,0.31118976,0.01524712,0.14321208,-1.485563087,-0.538885884,9.939061908,,,0.529120359,2.892741967
0.3605,1.423758715,0.01539076,-0.13690788,-0.22068392,-1.478902193,-1.152039952,10.22990255,,,0.523635438,2.963684319
0.42,1.550507732,-0.22986624,0.14878212,0.17406908,-1.88610248,0.404122669,8.360086756,,,0.513238974,3.030703249
0.295833333,1.674994968,0.12019776,0.13069412,0.07777508,-2.493035747,0.24783757,10.3363224,,,0.511223937,3.092927252
0.219333333,1.793235712,0.10264076,-0.24437488,-0.01798692,-2.078402864,-0.978019179,10.11112198,,,0.514048211,3.150764785
0.266,1.904704325,-0.19049724,-0.02199388,0.01659308,-2.330610847,-1.326423641,9.149845553,,,0.514816594,3.205256811
0.179166667,2.071561761,0.12658176,0.24560812,0.08149908,-0.925930586,-0.503738913,9.474263288,,,0.517270834,3.253948486
0.151,2.190049999,-0.05111024,0.18336312,-0.07916892,-0.73476618,-2.081501456,10.26816499,,,0.520058511,3.298790406
0.078833333,2.294591714,-0.13782824,0.06366012,0.09267108,-1.559153588,0.026654317,9.3604468,,,0.53767918,3.338623318
0.1225,2.378521927,0.19946776,0.23284012,0.11022708,-1.447479555,-1.514108964,9.158201515,,,0.546619876,3.377154688
0.086833333,2.536229876,-0.21603424,-0.01826988,-0.31431792,-2.199010668,-2.286046508,9.769175034,,,0.548941946,3.411631294
0.543,2.593856274,0.06912476,0.13814212,0.01925308,-0.037173083,0.576370267,8.622475028,,,0.519175946,3.447277984
0.652166667,2.652147968,0.11966576,0.04823212,0.09160708,-0.116776971,-0.426962916,10.30302515,,,0.475499622,3.481982681
1.127,2.651239715,-0.02876624,0.02429112,-0.07704092,-2.337330484,-2.088611262,9.501257955,,,0.404621771,3.51403367
1.3195,2.680905482,-0.02131724,0.30732212,0.18311308,-2.386119371,-0.945417373,8.996256869,,,0.311566778,3.544033435
0.9555,2.974788381,0.28405776,-0.20394188,0.01925308,-0.449427292,-0.958849368,9.789899178,,,0.230794344,3.56635775
0.9825,3.06101571,-0.37883024,0.17910712,0.01712508,-2.492793912,-0.465008241,9.066533824,,,0.151264268,3.583839945
1.0545,3.095783646,0.23564376,-0.04220988,-0.04352392,-1.570624553,-0.394046473,9.170451765,,,0.067347211,3.598465669
1.135,3.14778048,0.08668076,-0.38854988,0.04479008,-2.83996399,-0.993865377,9.914139665,,,-0.025370969,3.609157479
1.0575,3.300435606,0.10370476,0.16899912,-0.02383992,-1.673192867,-1.190284697,9.099836744,,,-0.119883517,3.613846897
0.652666667,3.437212529,-0.00588924,0.05408412,0.08894708,-0.479603427,-0.766135386,9.784143737,,,-0.200064388,3.61679048
0.3585,3.504518638,-0.07345524,-0.04220988,-0.04831192,-0.773117326,-0.362385019,9.129126109,,,-0.270499077,3.61880719
0.667333333,3.516131128,-0.01918924,-0.03316588,-0.08608492,-1.097973749,-0.65001323,10.5140762,,,-0.350664933,3.617315519
0.733,3.528901507,-0.07451924,0.05621212,-0.05788792,-1.675176975,0.122934641,9.659438128,,,-0.435830018,3.613393246
0.6075,3.531824779,-0.01546524,-0.02571788,-0.03128792,-1.416068221,0.179542488,9.627635112,,,-0.512613401,3.610080012
0.546,3.536573434,-0.04951424,0.10196512,-0.05416392,-0.961213312,0.074154535,9.738901096,,,-0.590313083,3.605385846
0.3615,3.534472451,-0.03355424,0.06525612,-0.00734692,-1.222923334,0.389940486,9.858211979,,,-0.659299698,3.601474659
0.3,3.525,-0.01599724,-0.00230888,0.00063308,-0.964658184,0.223423566,9.75015552,,,-0.726555013,3.597402721
0.239666667,3.524490857,-0.01227324,-0.00443688,0.00063308,-0.849273849,0.216032878,9.771293684,,,-0.783698085,3.594899525
0.3,3.525,0.00155876,0.00673512,-0.00096292,-0.890379137,0.253033216,9.766097661,,,-0.842293445,3.590999441
0.3,3.525,-0.02770224,-0.04486988,0.00276108,-1.10120673,0.165694965,9.619666877,,,-0.906000946,3.584848353
0.18,3.532991069,-0.01759324,0.00513912,-0.00096292,-0.882492545,0.156034368,9.740993175,,,-0.962638555,3.579844658
0.18,3.532991069,0.00847476,0.00833112,-0.00043092,-0.830329245,0.255996216,9.760811972,,,-1.021381594,3.572890861
0.18,3.532991069,0.00368676,-0.00337288,-0.00149492,-0.839144713,0.14120945,9.846822233,,,-1.087202589,3.562410002
0.18,3.532991069,0.04890776,0.03333612,0.00222908,-0.611021743,0.162971681,9.66559232,,,-1.152918963,3.550536164
0.240333333,3.534503437,0.22447176,0.19772712,-0.03075592,-0.13412844,0.347197206,9.29139607,,,-1.224596112,3.534973341
0.119833333,3.530469937,0.31597776,-0.00071288,0.19854108,-0.183426759,0.175886468,9.853610544,,,-1.25453859,3.526990028
0.120166667,3.540499265,-0.02025324,-0.19330188,-0.04884392,-0.239457933,0.627471193,10.20910282,,,-1.323755883,3.510943754
0.483333333,3.530309189,-0.05802624,0.13495012,0.00222908,-0.00488407,0.412980669,10.08028322,,,-1.377715816,3.492483887
0.241666667,3.554528017,0.01326276,-0.01667388,0.12725208,-0.385412069,-0.839797557,10.29458003,,,-1.458460903,3.469004466
0,3.572599205,0.08934076,-0.08530288,-0.06693292,-1.187948573,0.199130246,9.772339203,,,-1.507326515,3.451206115
-0.3025,3.554999133,0.12445376,-0.01720588,-0.07012492,-0.001120273,-0.12736501,10.15592173,,,-1.572309215,3.432201655
-0.667333333,3.516131128,-0.19156124,-0.03688988,-0.02703192,-0.417229338,-0.406030515,9.604002986,,,-1.601956377,3.422627916
-0.9075,3.452708773,0.20372376,0.04344412,-0.05363192,-0.213752368,0.047359789,9.623191321,,,-1.639092971,3.413652084
-1.281,3.366967076,-0.13676424,-0.12254388,-0.03767192,-0.572354363,-1.589745544,9.451782501,,,-1.657583125,3.412363449
-1.403,3.319037845,0.25532876,0.04184812,-0.11055792,-0.482914989,0.057283216,9.304608743,,,-1.671398892,3.414067248
-1.3475,3.357633893,-0.12080424,-0.05072188,0.05915408,-1.384157675,-1.985419717,9.747459737,,,-1.689966049,3.413402135
-1.478,3.325343094,0.79319276,0.06898012,-0.09193692,0.887746023,-1.487819682,10.84267928,,,-1.702761822,3.415195108
-1.665,3.243326586,0.52771876,0.17857512,-0.23451592,1.416584041,-1.171367056,10.36399964,,,-1.705081055,3.422827374
-1.738333333,3.233812148,-0.26178724,-0.03848588,0.23950608,-0.264149653,-0.300801111,9.016425173,,,-1.702695556,3.432089348
-1.752333333,3.260430922,0.17978276,0.19240712,-0.03873592,-0.509271076,-2.710807634,9.430262971,,,-1.698997024,3.440744933
-1.827,3.248711264,-0.49268024,-0.36407788,0.19907308,-1.080143222,-0.786387959,9.51079556,,,-1.688920118,3.451400091
-1.771,3.295920501,-0.00748524,-0.05870288,-0.17599492,-0.006204172,-1.120017222,10.03075613,,,-1.681935185,3.460070689
-1.9125,3.252342918,-0.00642124,-0.18159688,-0.10736592,0.462126458,-0.056847437,10.1378678,,,-1.660774105,3.473411141
-1.728,3.368748455,0.18776276,-0.06561888,0.03255408,-0.27762643,-0.78392745,9.461068073,,,-1.654009167,3.478785446
-1.860833333,3.310182183,0.12604976,0.48820612,-0.30686992,-1.163089399,-1.964742763,7.135399219,,,-1.630950617,3.491002247
-1.7325,3.377706048,-0.06334624,0.10409312,0.09320308,0.951941938,-0.020441202,11.79953222,,,-1.618207031,3.498654282
-1.737,3.386663498,-0.16017324,-0.18372488,0.02244508,-1.211568551,0.829459402,9.796477798,,,-1.601214286,3.507104896
-1.4835,3.513615124,-0.00322924,-0.00177688,0.00063308,-0.611333995,0.206870078,9.76774786,,,-1.620803241,3.497229605
-1.4835,3.513615124,0.00102676,-0.00869288,-0.00096292,-0.897217654,0.200174166,9.758162692,,,-1.648213333,3.483180416
-1.487333333,3.522879029,0.00634676,0.01099112,-0.00202692,-0.85360548,0.148282498,9.749514024,,,-1.657119792,3.477036399
-1.546,3.481643951,-0.01120924,0.04929612,-0.00894292,-1.049633195,0.35010644,9.653236706,,,-1.713333333,3.442860971
-1.799,3.349150482,-0.00961324,-0.01773788,0.00010108,-0.708944359,0.421598242,9.792650615,,,-1.796666667,3.394714846
-1.794333333,3.340279176,0.00794276,0.00035112,0.00010108,-0.837353331,0.229589965,9.754305986,,,-1.794333333,3.390279176
