field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,left_uwb_thread,right_uwb_thread,dataset_descrision,left_length,right_length,x,y
-0.016704,-0.001108,0.038581,-2.288965,-0.102998,9.352588,0.6,1.1,left,0.41,0.68,-0.24525,0.356327993
-0.061393,-0.001108,0.01996,-2.296142,-0.323115,9.491358,0.6,1.1,left,0.42,0.68,-0.238333333,0.365448218
-0.048093,0.016448,0.060393,-2.29375,-0.114961,9.441113,0.6,1.1,left,0.49,0.68,-0.18525,0.426374262
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.52,0.68,-0.16,0.450799361
-0.011384,0.005276,0.032729,-2.269824,-0.332686,9.534424,0.6,1.1,left,0,0,0,0
0.138643,-0.071334,-0.041753,-2.477979,0.193682,9.194677,0.6,1.1,left,0.59,0.69,-0.106666667,0.507424634
0.038093,-0.011748,0.020492,-2.13584,0.30374,9.017627,0.6,1.1,left,0.51,0.68,-0.168583333,0.442777495
-0.032665,0.01166,-0.000788,-2.181299,-0.07668,9.687549,0.6,1.1,left,0.43,0.68,-0.23125,0.374468418
-0.159816,0.082418,0.033261,-2.231543,-0.370967,9.388476,0.6,1.1,left,0.56,0.66,-0.101666667,0.473702099
0.107255,-0.122939,-0.038029,-2.044922,-0.260908,9.673193,0.6,1.1,left,0.42,0.66,-0.216,0.361514277
0.021069,0.02762,0.064649,-2.544971,-0.174775,9.359766,0.6,1.1,left,0.51,0.67,-0.157333333,0.439638869
-0.043305,-0.013345,0.0173,-2.217188,-0.117354,9.450684,0.6,1.1,left,0.49,0.67,-0.174,0.423522967
0.083846,-0.044733,-0.026325,-2.511475,0.186504,9.352588,0.6,1.1,left,0.46,0.67,-0.19775,0.398491848
0.049265,-0.00164,-0.021537,-2.233935,-0.004902,9.510498,0.6,1.1,left,0.67,0.67,0,0.549082632
-0.001808,-0.016537,-0.026857,-2.281787,0.200859,9.433935,0.6,1.1,left,0.66,0.67,-0.011083333,0.543403033
-0.001808,0.002616,0.028473,-2.174121,0.074053,9.486572,0.6,1.1,left,0.93,0.67,0.346666667,0.618372817
0.028517,-0.002704,-0.015152,-2.21958,0.243926,9.256885,0.6,1.1,left,0.84,0.67,0.213916667,0.614446883
-0.039049,-0.045265,-0.00132,-2.391846,-0.009687,9.393262,0.6,1.1,left,0.65,0.67,-0.022,0.537550849
-0.029473,0.00102,0.004532,-2.363135,-0.016865,9.374121,0.6,1.1,left,0.85,0.66,0.239083333,0.607182745
-0.061925,0.009,0.028473,-2.22915,0.004668,9.455469,0.6,1.1,left,0.8,0.66,0.170333333,0.5971372
-0.128959,0.039857,-0.002916,-2.29375,-0.280049,9.498535,0.6,1.1,left,0.75,0.66,0.10575,0.580766944
0.006172,-0.020261,-0.013024,-2.248291,-0.299189,9.56792,0.6,1.1,left,0.72,0.64,0.090666667,0.554797119
0.08225,-0.049521,0.019428,-2.379883,-0.136494,9.472217,0.6,1.1,left,0.93,0.64,0.379416667,0.585053536
-0.002872,0.010596,0.052413,-2.253076,0.023809,9.297559,0.6,1.1,left,0.91,0.64,0.34875,0.58814061
-0.032665,-0.003768,0.008788,-2.257861,-0.143672,9.347803,0.6,1.1,left,0.86,0.64,0.275,0.589511532
-0.040113,0.014852,-0.023665,-2.425342,-0.105391,9.398046,0.6,1.1,left,1,0.64,0.492,0.560521089
-0.045433,-0.043137,0.038581,-2.13584,-0.366182,9.572705,0.6,1.1,left,0.83,0.64,0.23275,0.586456941
-0.037985,-0.00164,0.049753,-2.253076,-0.105391,9.398046,0.6,1.1,left,0.9,0.64,0.333666667,0.589113883
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.87,0.64,0.289416667,0.589912489
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0,0,0,0
0.006172,0.020172,0.040709,-2.351172,-0.370967,9.505713,0.6,1.1,left,0,0,0,0
-0.003404,-0.016537,0.027941,-2.21958,-0.366182,9.541601,0.6,1.1,left,0.62,0.63,-0.010416667,0.498216648
-0.022556,0.003148,0.043369,-2.30332,-0.548018,9.49375,0.6,1.1,left,0.89,0.62,0.33975,0.568724444
0.00564,0.011128,-0.0093,-2.346387,-0.337471,9.386084,0.6,1.1,left,0.82,0.63,0.229583333,0.576052309
0.066822,-0.021857,-0.041753,-2.217188,-0.287227,9.304736,0.6,1.1,left,0.89,0.63,0.329333333,0.579316737
-0.017236,0.014852,0.007192,-2.305713,-0.294404,9.457861,0.6,1.1,left,0.99,0.62,0.496416667,0.538065042
-0.00766,-0.018665,0.02262,-2.312891,-0.260908,9.438721,0.6,1.1,left,1.04,0.62,0.581,0.50266536
0.026389,-0.006428,0.004,-2.241113,-0.203486,9.410009,0.6,1.1,left,1.07,0.62,0.63375,0.472504486
0.030113,-0.025581,-0.006108,-2.346387,-0.359004,9.453076,0.6,1.1,left,0.98,0.63,0.469583333,0.556746647
-0.088526,0.035601,0.032729,-2.286572,-0.222627,9.481787,0.6,1.1,left,0.88,0.63,0.314583333,0.579831189
-0.037453,0.029216,-0.008236,-2.341602,-0.265693,9.35498,0.6,1.1,left,0.88,0.63,0.314583333,0.579831189
0.033305,-0.008024,-0.018877,-2.370313,0.004668,9.314306,0.6,1.1,left,0.94,0.62,0.416,0.559051722
0.046073,-0.008556,-0.014088,-2.425342,-0.079072,9.182714,0.6,1.1,left,0.97,0.62,0.46375,0.547984897
-0.085866,0.013788,0.004,-2.305713,-0.399678,9.484179,0.6,1.1,left,1.04,0.62,0.581,0.50266536
0.049265,0.007404,-0.034837,-2.492334,-0.421211,9.211426,0.6,1.1,left,1.11,0.62,0.706416667,0.418215221
0.018409,-0.008024,-0.008768,-2.343994,-0.303975,9.417188,0.6,1.1,left,1.17,0.61,0.830666667,0.25082036
-0.056073,0.066457,0.004532,-2.305713,-0.83752,9.644483,0.6,1.1,left,1.19,0.6,0.880083333,0.103307946
0.047137,-0.045265,-0.018345,-2.614355,-0.421211,9.216211,0.6,1.1,left,1.24,0.6,0,0
0.109915,-0.077186,-0.011428,-2.365527,-0.110176,9.398046,0.6,1.1,left,1.1,0.62,0.688,0.4335866
0.042881,-0.043669,-0.043349,-2.353564,-0.23459,9.472217,0.6,1.1,left,1.08,0.62,0.651666667,0.460617818
-0.007128,0.013256,-0.016748,-2.348779,-0.134102,9.321485,0.6,1.1,left,1.07,0.62,0.63375,0.472504486
0.019473,0.01432,-0.000788,-2.360742,-0.229805,9.429151,0.6,1.1,left,1.04,0.62,0.581,0.50266536
-0.033729,0.017512,0.011448,-2.320068,-0.265693,9.572705,0.6,1.1,left,1.04,0.62,0.581,0.50266536
-0.01298,0.011128,0.032729,-2.353564,-0.363789,9.481787,0.6,1.1,left,0.95,0.61,0.442,0.543241941
0.022665,0.024428,-0.019941,-2.528223,-0.411641,9.386084,0.6,1.1,left,0.89,0.6,0.360083333,0.546984081
-0.041177,-0.030369,0.002936,-2.403808,-0.179561,9.441113,0.6,1.1,left,0.82,0.61,0.25025,0.557967875
-0.005532,0.051029,0.017832,-2.470801,-0.296797,9.237744,0.6,1.1,left,0.86,0.61,0.30625,0.559967981
-0.003404,-0.016537,-0.016748,-2.413379,-0.270479,9.331055,0.6,1.1,left,0.75,0.61,0.158666667,0.54340112
-0.036389,-0.007492,-0.008768,-2.523437,-0.174775,9.512891,0.6,1.1,left,0.73,0.61,0.134,0.536978705
0.031709,0.008468,-0.00132,-2.277002,-0.473848,9.34541,0.6,1.1,left,0.91,0.62,0.36975,0.566064069
-0.021492,-0.037285,0.003468,-2.188476,-0.339863,9.486572,0.6,1.1,left,0.89,0.62,0.33975,0.568724444
-0.011384,0.007936,-0.011428,-2.439697,-0.375752,9.366943,0.6,1.1,left,0.96,0.61,0.457916667,0.539204825
-0.055541,0.01964,0.007724,-2.279395,-0.404463,9.488965,0.6,1.1,left,0.97,0.61,0.474,0.534657164
-0.010852,-0.010152,0.037517,-2.13584,-0.770527,9.402832,0.6,1.1,left,1.06,0.61,0.62625,0.465423067
0.070546,-0.011748,-0.013556,-2.296142,-0.24416,9.393262,0.6,1.1,left,1.03,0.59,0.594,0.461531035
0.048733,-0.019729,-0.027921,-2.236328,-0.25373,9.445898,0.6,1.1,left,0.88,0.59,0.35525,0.537407386
-0.01564,-0.06761,0.016768,-2.159766,-0.251338,9.371729,0.6,1.1,left,0.9,0.6,0.375,0.545294045
-0.034261,0.028684,-0.031113,-2.351172,0.033379,9.323877,0.6,1.1,left,0.98,0.6,0.500333333,0.515567463
0.088634,-0.030901,0.024748,-2.212402,-0.280049,9.101367,0.6,1.1,left,0.99,0.61,0.506666667,0.523924114
0.018941,-0.017601,0.034857,-2.188476,-0.126924,9.259277,0.6,1.1,left,1.11,0.61,0.716666667,0.395520919
0.064694,-0.089422,0.054541,-2.35835,0.088408,9.331055,0.6,1.1,left,0.94,0.6,0.436333333,0.534305761
-0.082674,0.052625,0.043369,-1.958789,-0.442744,9.610987,0.6,1.1,left,0.92,0.61,0.39525,0.552517583
-0.07895,0.053689,-0.08591,-1.877441,-0.311152,9.457861,0.6,1.1,left,0.96,0.62,0.447666667,0.552158248
-0.005532,0.01698,-0.032177,-1.482666,0.1554,9.644483,0.6,1.1,left,1.07,0.61,0.644,0.453749938
0.012556,0.028684,0.016768,-2.162158,-0.16999,9.400439,0.6,1.1,left,1.1,0.63,0.677583333,0.454312231
-0.072566,-0.001108,0.089654,-2.150195,-0.198701,9.374121,0.6,1.1,left,1,0.64,0.492,0.560521089
-0.024684,0.079226,-0.025793,-1.84873,-0.241768,9.613379,0.6,1.1,left,0.81,0.64,0.205416667,0.582972348
-0.065117,0.028684,0.180628,-2.111914,0.270244,9.220996,0.6,1.1,left,0.9,0.64,0.333666667,0.589113883
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.75,0.64,0.127416667,0.566291322
-0.051285,-0.061226,0.035389,-2.049707,-0.47624,9.699512,0.6,1.1,left,0,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.45,0.63,-0.162,0.378317639
0.018409,-0.017069,-0.015152,-2.157373,0.023809,9.307129,0.6,1.1,left,0,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.29,0.65,-0.282,0.23944084
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0,0,0,0
0.030113,-0.039945,-0.042285,-2.298535,0.028594,9.436328,0.6,1.1,left,0,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.28,0.65,-0.28675,0.22968632
-0.08161,0.051029,-0.009832,-2.092773,0.05252,9.627734,0.6,1.1,left,0,0,0,0
-0.02362,-0.019197,0.033261,-2.171729,0.066875,9.331055,0.6,1.1,left,0.36,0.65,-0.244083333,0.305630885
-0.095974,0.061669,0.017832,-2.504297,0.51668,9.529638,0.6,1.1,left,0.27,0.65,-0.291333333,0.21986087
0.295055,0.057945,-0.050265,-2.415771,0.466436,9.309522,0.6,1.1,left,0.21,0.64,-0.304583333,0.159949978
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.18,0.64,-0.314333333,0.129428413
0.109383,0.108486,0.043901,-2.475586,0.162578,9.02002,0.6,1.1,left,0,0,0,0
0.016813,0.006872,0.002936,-2.166943,0.346807,9.685156,0.6,1.1,left,0.22,0.65,-0.31175,0.169685998
-0.059265,0.065393,0.039645,-2.499512,0.74876,9.386084,0.6,1.1,left,0.34,0.64,-0.245,0.285521981
-0.065117,-0.020793,0.032197,-2.420557,0.330059,9.529638,0.6,1.1,left,0.35,0.65,-0.25,0.296410162
0.025325,0.038793,-0.006108,-2.681348,0.353984,9.376513,0.6,1.1,left,0.48,0.65,-0.160083333,0.409155013
0.01628,0.041453,-0.074738,-2.645459,0.437725,9.323877,0.6,1.1,left,0.4,0.64,-0.208,0.339276252
0.033305,0.040921,0.030601,-2.504297,0.605205,9.429151,0.6,1.1,left,0.45,0.64,-0.172583333,0.381584283
0.057245,0.071245,-0.049733,-2.489942,0.456865,9.220996,0.6,1.1,left,0.42,0.65,-0.205083333,0.35913424
-0.061393,0.095718,0.042305,-2.300928,0.68416,9.532031,0.6,1.1,left,0.42,0.64,-0.194333333,0.356490536
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.46,0.64,-0.165,0.389744244
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0,0,0,0
0.058309,-0.022389,-0.023665,-2.59043,0.444902,9.283203,0.6,1.1,left,0,0,0,0
-0.045433,0.059009,-0.078994,-2.707666,0.471221,9.402832,0.6,1.1,left,0.29,0.65,-0.282,0.23944084
0.037029,0.029216,-0.024197,-2.829688,0.538213,9.060694,0.6,1.1,left,0.38,0.65,-0.23175,0.323820729
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.43,0.64,-0.18725,0.364954742
0.057777,-0.025049,-0.030581,-2.846435,0.471221,9.132471,0.6,1.1,left,0.7,0,0,0
-0.023088,0.048369,-0.017813,-2.894287,0.583672,9.311914,0.6,1.1,left,0.54,0.64,-0.098333333,0.450929691
-0.055009,0.013256,-0.042285,-2.824902,0.51668,9.378906,0.6,1.1,left,0.63,0.64,-0.010583333,0.509587342
-0.008724,0.01698,0.027409,-2.671777,0.459258,9.486572,0.6,1.1,left,0.56,0.64,-0.08,0.464975728
-0.00766,0.002616,0.011448,-2.726807,0.688945,9.331055,0.6,1.1,left,0.63,0.64,-0.010583333,0.509587342
0.116831,-0.016537,-0.102402,-2.745947,0.454473,9.285596,0.6,1.1,left,0.66,0.64,0.021666667,0.526307692
0.075866,0.045177,-0.002916,-2.633496,0.545391,9.503321,0.6,1.1,left,0.55,0.64,-0.08925,0.458020115
-0.006596,0.041453,-0.008768,-2.958887,0.576494,9.149219,0.6,1.1,left,0.69,0.64,0.055416667,0.541421164
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.55,0.64,-0.08925,0.458020115
0.020005,0.021768,0.002404,-2.879932,0.251104,9.371729,0.6,1.1,left,0,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.45,0.64,-0.172583333,0.381584283
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0,0,0,0
0.056713,-0.041541,0.042837,-2.779443,0.834893,9.486572,0.6,1.1,left,0,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,0.6,1.1,left,0.36,0.66,-0.255,0.307176427
0.029049,0.062733,0.01464,-2.827295,0.91624,9.331055,0.6,1.1,left,0,0,0,0
-0.090654,-0.017601,0.07529,-3.028272,0.614775,9.067871,0.6,1.1,left,0.25,0.66,-0.310916667,0.199761539
0.018941,0.010596,-0.042285,-2.793799,0.753545,9.388476,0.6,1.1,left,0.34,0.65,-0.25575,0.287108199
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.053413,0.051561,0.01996,-0.516064,-0.69875,9.474609,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.52,0.256,0.468135118
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.027877,-0.016005,-0.002384,-0.60459,-0.208271,9.742579,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.4,0.323,0.349338203
0.041285,0.013788,0.007724,-0.568701,-0.445137,9.783252,1.1,1.1,right,0.75,0,0,0
-0.017236,-0.011748,-0.016748,-0.53042,-0.509736,9.618164,1.1,1.1,right,0.75,0.37,0.354666667,0.315939279
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.44,0.295,0.38997159
-0.080014,0.029216,-0.011428,-0.501709,-0.399678,9.599024,1.1,1.1,right,0.75,0,0,0
0.030113,0.045177,0.01464,-0.525635,-0.406855,9.57749,1.1,1.1,right,0.75,0.51,0.252,0.457736152
0.046073,-0.009088,-0.017813,-0.477783,-0.473848,9.563135,1.1,1.1,right,0.75,0.48,0.27675,0.429436583
0.056181,-0.023985,0.002936,-0.425146,-0.440352,9.730616,1.1,1.1,right,0.76,0.44,0.32,0.38954522
0.055649,0.021236,0.006128,-0.367725,-0.251338,9.890918,1.1,1.1,right,0.77,0.41,0.354,0.356428345
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0.4,0.373666667,0.343158012
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
0.005108,-0.07559,0.009852,-0.374902,-0.3925,9.426758,1.1,1.1,right,0.75,0,0,0
0.035433,0.004744,-0.030049,-0.403613,-0.347041,9.694727,1.1,1.1,right,0.76,0.31,0.40125,0.24299904
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.31,0.414,0.238277644
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
0.093954,-0.07027,0.039645,-0.260059,-0.217842,9.610987,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.29,0.424,0.212152627
0.036497,-0.019197,0.007724,-0.30791,-0.047969,9.675586,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.28,0.416,0.204841127
0.108851,-0.005896,0.008256,-0.386865,-0.105391,9.634912,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
0.023197,0.01964,0.032197,-0.343799,0.157793,9.654053,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.28,0.416,0.204841127
