time,left_length,right_length,x,y,outoff
1.68E+18,0.41,0.68,-0.24525,0.356327993,0.390625
1.68E+18,0.42,0.68,-0.238333333,0.365448218,0.390625
1.68E+18,0.49,0.68,-0.18525,0.426374262,0.390625
1.68E+18,0.52,0.68,-0.16,0.450799361,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.59,0.69,-0.106666667,0.507424634,0.390625
1.68E+18,0.51,0.68,-0.168583333,0.442777495,0.390625
1.68E+18,0.43,0.68,-0.23125,0.374468418,0.390625
1.68E+18,0.56,0.66,-0.101666667,0.473702099,0.390625
1.68E+18,0.42,0.66,-0.216,0.361514277,0.390625
1.68E+18,0.51,0.67,-0.157333333,0.439638869,0.390625
1.68E+18,0.49,0.67,-0.174,0.423522967,0.390625
1.68E+18,0.46,0.67,-0.19775,0.398491848,0.390625
1.68E+18,0.67,0.67,0,0.549082632,0.390625
1.68E+18,0.66,0.67,-0.011083333,0.543403033,0.390625
1.68E+18,0.93,0.67,0.346666667,0.618372817,0.390625
1.68E+18,0.84,0.67,0.213916667,0.614446883,0.390625
1.68E+18,0.65,0.67,-0.022,0.537550849,0.390625
1.68E+18,0.85,0.66,0.239083333,0.607182745,0.390625
1.68E+18,0.8,0.66,0.170333333,0.5971372,0.390625
1.68E+18,0.75,0.66,0.10575,0.580766944,0.390625
1.68E+18,0.72,0.64,0.090666667,0.554797119,0.390625
1.68E+18,0.93,0.64,0.379416667,0.585053536,0.390625
1.68E+18,0.91,0.64,0.34875,0.58814061,0.390625
1.68E+18,0.86,0.64,0.275,0.589511532,0.390625
1.68E+18,1,0.64,0.492,0.560521089,0.390625
1.68E+18,0.83,0.64,0.23275,0.586456941,0.390625
1.68E+18,0.9,0.64,0.333666667,0.589113883,0.390625
1.68E+18,0.87,0.64,0.289416667,0.589912489,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.62,0.63,-0.010416667,0.498216648,0.390625
1.68E+18,0.89,0.62,0.33975,0.568724444,0.390625
1.68E+18,0.82,0.63,0.229583333,0.576052309,0.390625
1.68E+18,0.89,0.63,0.329333333,0.579316737,0.390625
1.68E+18,0.99,0.62,0.496416667,0.538065042,0.390625
1.68E+18,1.04,0.62,0.581,0.50266536,0.390625
1.68E+18,1.07,0.62,0.63375,0.472504486,0.390625
1.68E+18,0.98,0.63,0.469583333,0.556746647,0.390625
1.68E+18,0.88,0.63,0.314583333,0.579831189,0.390625
1.68E+18,0.88,0.63,0.314583333,0.579831189,0.390625
1.68E+18,0.94,0.62,0.416,0.559051722,0.390625
1.68E+18,0.97,0.62,0.46375,0.547984897,0.390625
1.68E+18,1.04,0.62,0.581,0.50266536,0.390625
1.68E+18,1.11,0.62,0.706416667,0.418215221,0.390625
1.68E+18,1.17,0.61,0.830666667,0.25082036,0.390625
1.68E+18,1.19,0.6,0.880083333,0.103307946,0.390625
1.68E+18,1.24,0.6,0,0,0.390625
1.68E+18,1.1,0.62,0.688,0.4335866,0.390625
1.68E+18,1.08,0.62,0.651666667,0.460617818,0.390625
1.68E+18,1.07,0.62,0.63375,0.472504486,0.390625
1.68E+18,1.04,0.62,0.581,0.50266536,0.390625
1.68E+18,1.04,0.62,0.581,0.50266536,0.390625
1.68E+18,0.95,0.61,0.442,0.543241941,0.390625
1.68E+18,0.89,0.6,0.360083333,0.546984081,0.390625
1.68E+18,0.82,0.61,0.25025,0.557967875,0.390625
1.68E+18,0.86,0.61,0.30625,0.559967981,0.390625
1.68E+18,0.75,0.61,0.158666667,0.54340112,0.390625
1.68E+18,0.73,0.61,0.134,0.536978705,0.390625
1.68E+18,0.91,0.62,0.36975,0.566064069,0.390625
1.68E+18,0.89,0.62,0.33975,0.568724444,0.390625
1.68E+18,0.96,0.61,0.457916667,0.539204825,0.390625
1.68E+18,0.97,0.61,0.474,0.534657164,0.390625
1.68E+18,1.06,0.61,0.62625,0.465423067,0.390625
1.68E+18,1.03,0.59,0.594,0.461531035,0.390625
1.68E+18,0.88,0.59,0.35525,0.537407386,0.390625
1.68E+18,0.9,0.6,0.375,0.545294045,0.390625
1.68E+18,0.98,0.6,0.500333333,0.515567463,0.390625
1.68E+18,0.99,0.61,0.506666667,0.523924114,0.390625
1.68E+18,1.11,0.61,0.716666667,0.395520919,0.390625
1.68E+18,0.94,0.6,0.436333333,0.534305761,0.390625
1.68E+18,0.92,0.61,0.39525,0.552517583,0.390625
1.68E+18,0.96,0.62,0.447666667,0.552158248,0.390625
1.68E+18,1.07,0.61,0.644,0.453749938,0.390625
1.68E+18,1.1,0.63,0.677583333,0.454312231,0.390625
1.68E+18,1,0.64,0.492,0.560521089,0.390625
1.68E+18,0.81,0.64,0.205416667,0.582972348,0.390625
1.68E+18,0.9,0.64,0.333666667,0.589113883,0.390625
1.68E+18,0.75,0.64,0.127416667,0.566291322,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.45,0.63,-0.162,0.378317639,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.29,0.65,-0.282,0.23944084,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.28,0.65,-0.28675,0.22968632,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.36,0.65,-0.244083333,0.305630885,0.390625
1.68E+18,0.27,0.65,-0.291333333,0.21986087,0.390625
1.68E+18,0.21,0.64,-0.304583333,0.159949978,0.390625
1.68E+18,0.18,0.64,-0.314333333,0.129428413,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.22,0.65,-0.31175,0.169685998,0.390625
1.68E+18,0.34,0.64,-0.245,0.285521981,0.390625
1.68E+18,0.35,0.65,-0.25,0.296410162,0.390625
1.68E+18,0.48,0.65,-0.160083333,0.409155013,0.390625
1.68E+18,0.4,0.64,-0.208,0.339276252,0.390625
1.68E+18,0.45,0.64,-0.172583333,0.381584283,0.390625
1.68E+18,0.42,0.65,-0.205083333,0.35913424,0.390625
1.68E+18,0.42,0.64,-0.194333333,0.356490536,0.390625
1.68E+18,0.46,0.64,-0.165,0.389744244,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.29,0.65,-0.282,0.23944084,0.390625
1.68E+18,0.38,0.65,-0.23175,0.323820729,0.390625
1.68E+18,0.43,0.64,-0.18725,0.364954742,0.390625
1.68E+18,0.7,0,0,0,0.390625
1.68E+18,0.54,0.64,-0.098333333,0.450929691,0.390625
1.68E+18,0.63,0.64,-0.010583333,0.509587342,0.390625
1.68E+18,0.56,0.64,-0.08,0.464975728,0.390625
1.68E+18,0.63,0.64,-0.010583333,0.509587342,0.390625
1.68E+18,0.66,0.64,0.021666667,0.526307692,0.390625
1.68E+18,0.55,0.64,-0.08925,0.458020115,0.390625
1.68E+18,0.69,0.64,0.055416667,0.541421164,0.390625
1.68E+18,0.55,0.64,-0.08925,0.458020115,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.45,0.64,-0.172583333,0.381584283,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.36,0.66,-0.255,0.307176427,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.25,0.66,-0.310916667,0.199761539,0.390625
1.68E+18,0.34,0.65,-0.25575,0.287108199,0.390625
1.68E+18,0.36,0.64,-0.233333333,0.303773311,0.390625
